Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Capacitity Moist,Temp,Moist,EC (u/10 gram),Ph,Nitro (mg/10 g),Posh Nitro (mg/10 g),Pota Nitro (mg/10 g)
100_0ml,717.8885,146.2555,366.1325,95.2335,173.96,162.658,26.0825,31.7425,141.469,44.825,92.6535,8.7125,16.828,16.4655,35.43,121.796,14.0295,6.772,2644.75,37.15,0,0,7.777,0,0,0
100_25ml,676.767,131.09,326.05,86.409,151.4475,146.376,21.567,25.0125,99.3975,34.9165,64.876,7.098,13.345,13.689,25.2275,73.409,11.81,6.2,2480.1,37.15,10.125,1.5075,7.6135,0.1235,0.171,0.44
100_50ml,685.422,134.678,334.2565,85.2275,153.213,144.0955,22.592,24.811,93.215,33.938,60.142,6.832,12.6975,13.043,23.819,64.2395,11.52,6.155,2299.05,37.19,23.18,2.1785,7.3715,0.16,0.22,0.561
101_0ml,769.939,163.908,411.063,104.775,204.155,182.654,34.469,41.768,180.536,56.083,109.813,10.269,21.111,19.642,43.625,142.175,17.28,7.258,2650.3,38.5,0,0,7.194,0,0,0
101_25ml,717.85,145.248,356.471,95.064,173.06,157.887,25.167,29.614,127.946,41.06,72.411,8.23,15.532,15.138,29.115,78.987,13.83,6.288,2436,38.5,7.89,1.571,6.968,0.126,0.171,0.438
101_50ml,694.77,136.35,336.795,89.915,159.955,150.097,24.714,29.288,115.582,40.794,70.014,7.798,14.236,14.251,28.17,79.758,12.67,6.376,2367.7,38.5,29.58,3.368,7.142,0.22,0.3,0.764
102_0ml,722.085,144.48,364.904,92.616,173.885,157.396,27.405,33.174,130.721,47.84,80.187,8.943,15.937,15.217,32.44,97.103,14.98,6.552,2645.6,37.4,0,0,7.321,0,0,0
102_25ml,682.537,130.13,327.18,85.693,150.59,146.027,20.881,24.298,97.433,34.539,59.143,6.905,12.94,12.961,24.76,67.83,11.52,6.2,2360.6,37.5,14.24,1.853,7.708,0.147,0.199,0.507
102_50ml,680.15,129.554,326.55,85.184,149.015,144.904,22.161,25.155,90.732,34.65,55.554,6.905,12.454,12.88,23.05,61.641,11.52,6.111,2353.6,37.5,30.22,2.378,7.564,0.17,0.235,0.596
104_0ml,753.088,157.784,385.309,101.312,190.075,172.621,31.235,37.677,173.947,53.414,108.712,9.909,20.063,19.242,42.86,148.803,16.767,6.992,2645.6,38.3,0,0,7.968,0,0,0
104_25ml,719.929,144.48,348.857,91.516,165.045,151.57,23.252,27.368,110.725,38.686,74.603,7.51,15.694,16.021,30.22,94.451,13.366,6.288,2516.1,38.2,12.58,1.7,7.188,0.14,0.19,0.48
104_50ml,679.534,133.672,329.089,85.356,150.215,143.71,24.26,27.941,98.588,39.967,63.036,7.224,13.102,13.85,24.93,72.139,12.1,6.111,2382.7,38.1,23.95,2,7.219,0.15,0.21,0.53
106_0ml,782.403,165.435,416.049,118.45,240.565,194.867,26.447,29.86,289.759,43.016,147.611,8.871,29.768,21.497,58.05,205.699,20.74,7.08,2627.1,35.5,0,0,7.6,0,0,0
106_25ml,787.331,157.976,397.733,100.637,201.98,172.97,22.115,26.139,106.563,40.604,82.582,7.08,16.99,15.78,30.56,104.063,13.25,6.2,2459.5,35.6,15.66,2,7.954,0.15,0.21,0.53
106_50ml,766.706,155.97,377.24,102.157,185.65,156.483,21.384,25.444,131.76,37.892,83.677,8.41,16.423,15.618,37.305,117.542,16.71,6.816,2546,35.7,25.68,2.165,7.745,0.16,0.22,0.559
115_0ml,721.007,145.44,364.45,93.121,174.935,158.728,29.093,34.484,135.459,50.285,87.669,9.049,16.666,15.939,34.83,112.462,14.4,6.816,2638.3,35,0,0,7.944,0,0,0
115_25ml,674.385,129.746,325.459,85.522,150.74,144.694,22.389,26.384,99.397,38.42,64.133,7.046,13.345,13.689,25.61,74.347,11.52,6.288,2385.9,35.1,11.77,1.728,8.01,0.14,0.19,0.486
115_50ml,689.382,135.015,338.338,86.283,157.405,148.834,23.255,27.82,107.95,39.17,71.213,7.402,14.641,14.41,28.858,92.355,12.556,6.2,2351.7,35.2,21.1,2,7.322,0.15,0.21,0.53
11_0ml,902.202,198.735,500.479,121.405,249.33,215.426,36.752,45.081,244.103,64.144,211.741,11.987,28.715,25.361,70.775,360.028,23.62,7.881,2635.2,36.2,0,0,7.656,0,0,0
11_25ml,829.107,172.518,433.009,104.435,202.355,178.376,25.806,29.901,155.916,40.68,102.328,9.12,19.504,17.39,39.958,146.818,16.13,6.376,1909.4,36.3,13.62,2,7.796,0.15,0.21,0.53
11_50ml,869.041,177.112,437.09,107.812,208.504,182.446,26.811,32.074,153.373,45.124,91.36,8.942,19.5,17.954,40.47,147.147,16.767,6.816,2133,36.3,20.94,2,7.526,0.15,0.21,0.53
121_0ml,787.485,171.28,426.301,108.152,212.77,186.727,37.754,45.245,195.213,62.15,124.171,11.305,21.354,19.563,46.186,156.427,17.86,7.081,2642.6,37.8,0,0,7.208,0,0,0
121_25ml,685.617,135.585,337.431,87.381,156.58,148.904,24.44,28.633,115.81,39.854,76.696,7.798,14.317,14.41,29.03,89.926,12.67,6.2,2433.8,37.8,16.91,2,7.324,0.15,0.21,0.53
121_50ml,702.773,139.125,344.775,88.056,160.255,149.324,25.077,28.918,115.117,39.588,71.612,7.906,14.479,14.572,29.03,85.504,13.076,6.2,2294.5,37.9,28.01,2.78,7.304,0.19,0.26,0.665
137_0ml,732.316,151.18,380.779,95.824,180.56,166.026,28.726,35.425,141.815,50.1,86.274,9.157,17.233,16.181,34.15,108.816,14.98,6.64,2635.1,35.8,0,0,7.724,0,0,0
137_25ml,683.384,133,334.62,84.341,153.664,143.007,21.613,25.036,100.093,36.16,63.834,7.117,13.426,13.366,26.47,74.237,12.1,6.2,2489.3,35.83,13.31,1.788,7.838,0.14,0.191,0.496
137_50ml,676.15,130.13,323.74,85.945,149.165,142.447,23.941,27.574,104.599,39.17,68.421,7.367,12.859,13.528,26.47,82.409,11.52,6.2,2350.3,36,25.66,2.286,8.021,0.17,0.23,0.58
13_0ml,691.767,138.74,347.31,92.193,166.77,161.886,25.214,29.533,129.335,41.81,77.196,8.157,15.451,15.056,29.88,90.257,12.67,6.199,2646.2,36.4,3.17,0.279,7.253,0.019,0.026,0.067
13_25ml,655.992,125.825,314.67,84.677,146.84,148.482,20.698,22.869,93.966,31.26,60.143,6.692,12.778,13.609,23.9,68.936,10.892,6.2,2391.3,36.5,18.48,2,7.408,0.15,0.21,0.53
13_50ml,671.92,132.14,341.419,88.395,162.426,154.658,21.155,24.054,94.892,33.634,61.834,6.799,14.479,14.25,23.9,65.841,10.95,6.2,2374.5,36.69,22.02,2.079,7.804,0.159,0.21,0.547
140_0ml,768.014,161.614,397.372,101.819,193.515,183.637,30.047,37.106,165.971,53.638,101.534,9.767,22.974,21.093,42.003,142.287,17.396,7.08,2663.6,37.9,0,0,7.696,0,0,0
140_25ml,718.466,147.35,364.27,91.518,175.835,163.85,22.296,25.852,131.531,37.252,75.801,7.474,19.82,17.229,33.3,94.121,13.83,6.2,2650.2,37.9,17.63,2,7.658,0.15,0.21,0.53
140_50ml,696.233,136.926,333.621,89.746,156.805,149.184,23.527,27.204,117.776,37.176,74.704,7.834,14.074,14.331,29.03,89.481,12.67,6.288,2362.4,37.9,30.67,2.688,7.202,0.187,0.256,0.65
142_0ml,847.572,189.46,469.467,118.874,238.916,204.269,39.897,48.228,222.608,67.383,142.023,12.34,27.508,26.406,56.605,195.753,21.31,8.058,2655.2,38.5,0,0,7.128,0,0,0
142_25ml,732.701,149.46,367.624,96.92,180.485,163.707,30.047,35.303,154.301,48.78,95.346,9.66,18.934,18.277,38.42,120.743,16.072,7.08,2384.7,38.5,16.89,2,7.178,0.15,0.21,0.53
142_50ml,710.391,146.016,362.005,89.998,167.22,152.271,27.404,30.639,116.387,42,87.071,8.05,14.398,14.573,29.88,95.999,12.67,6.111,2284.9,38.5,37.48,4.11,7.03,0.26,0.35,0.89
150,737.244,147.16,375.787,95.402,181.085,169.113,28.772,34.279,144.822,48.25,90.962,8.871,17.395,17.069,36.71,122.512,12.67,6.728,2605.6,28.05,0,0,7.995,0,0,0
